Word,Phonetic,Definition,Example,POS
achievements,/əˈt͡ʃiːvmənts/,The act of achieving or performing; a successful performance; accomplishment,,noun
allows,/əˈlaʊz/,"To grant, give, admit, accord, afford, or yield; to let one have.",to allow a servant his liberty;  to allow a free passage;  to allow one day for rest,verb
altitudes,/altitudes/,"The absolute height of a location, usually measured from sea level.","As the altitude increases, the temperature gets lower, so remember to bring warm clothes to the mountains.",noun
ascend,/əˈsɛnd/,"To move upward, to fly, to soar.",He ascended to heaven upon a cloud.,verb
ascended,/əˈsɛndɪd/,"To move upward, to fly, to soar.",He ascended to heaven upon a cloud.,verb
ascent,/əˈsɛnt/,The act of ascending; a motion upwards.,He made a tedious ascent of Mont Blanc.,noun
awards,/awards/,"A judgment, sentence, or final decision. Specifically: The decision of arbitrators in a case submitted.",,noun
beats,/biːts/,A stroke; a blow.,,noun
behind,/bəˈhaɪnd/,"The rear, back-end",,noun
books,/bʊks/,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc.",He was frustrated because he couldn't find anything about dinosaurs in the book.,noun
born,/ˈbɔːn/,"To carry or convey, literally or figuratively.","Judging from the look on his face, he wasn't bearing good news.",verb
breaking,/ˈbɹeɪkɪŋ/,"To separate into two or more pieces, to fracture or crack, by a process that cannot easily be reversed for reassembly.","If the vase falls to the floor, it might break.",verb
breaks,/bɹeɪks/,An instance of breaking something into two or more pieces.,The femur has a clean break and so should heal easily.,noun
breathes,/bɹiːðz/,"To draw air into (inhale), and expel air from (exhale), the lungs in order to extract oxygen and excrete waste gases.",,verb
burgada,/burgada/,,,
c,/c/,Abbreviation of circa.,"The document was written in the Middle Ages, c. 1250.",adverb
cases,/ˈkeɪsɪz/,"An actual event, situation, or fact.","For a change, in this case, he was telling the truth.",noun
catalonia,/catalonia/,a region of northeastern Spain,,n
causes,/ˈkɑzɪz/,"(often with of, typically of adverse results) The source of, or reason for, an event or action; that which produces or effects a result.",They identified a burst pipe as the cause of the flooding.,noun
cerdanya,/cerdanya/,,,
challenges,/challenges/,A confrontation; a dare.,,noun
children,[ˈt͡ʃʊld̠ɹ̠ ̝ʷən],"A person who has not yet reached adulthood, whether natural (puberty), cultural (initiation), or legal (majority)",Go easy on him: he is but a child.,noun
climbed,/klaɪmd/,To ascend; rise; to go up.,Prices climbed steeply.,verb
climbers,/climbers/,One who climbs.,,noun
comes,/kʌmz/,To move from further away to nearer to.,She’ll be coming ’round the mountain when she comes [...],verb
compared,/kəmˈpɛəd/,"To assess the similarities and differences between two or more things [""to compare X with Y""]. Having made the comparison of X with Y, one might have found it similar to Y or different from Y.",Compare the tiger's coloration with that of the zebra.,verb
competed,/kəmˈpiːtɪd/,"To be in battle or in a rivalry with another for the same thing, position, or reward; to contend",,verb
competitions,/competitions/,The action of competing.,The competition for this job is strong.,noun
conditions,/kənˈdɪʃənz/,A logical clause or phrase that a conditional statement uses. The phrase can either be true or false.,,noun
ctemc,/ctemc/,,,
days,/ˈdeɪz/,Any period of 24 hours.,I've been here for two days and a bit.,noun
de,/de/,To do.,,verb
descent,/dɪˈsɛnt/,An instance of descending; act of coming down.,"We climbed the mountain with difficulty, but the descent was easier.",noun
drinking,/ˈdɹɪŋkɪŋ/,To consume (a liquid) through the mouth.,He drank the water I gave him.,verb
efficiently,/efficiently/,In an efficient manner.,,adverb
entering,/ˈɛn.təɹ.ɪŋ/,To go or come into an enclosed or partially enclosed space.,"You should knock before you enter, unless you want to see me naked.",verb
equipped,/ɪˈkwɪpt/,"To supply with something necessary in order to carry out a specific action or task; to provide with (e.g. weapons, provisions, munitions, rigging)",,verb
everest,/everest/,"a mountain in the central Himalayas on the border of Tibet and Nepal; the highest mountain peak in the world (29,028 feet high)",,n
faster,/ˈfɑːstə/,Firmly or securely fixed in place; stable.,That rope is dangerously loose. Make it fast!,adjective
finds,/faɪndz/,"Anything that is found (usually valuable), as objects on an archeological site or a person with talent.",,noun
gave,/ɡeɪv/,"(ditransitive) To move, shift, provide something abstract or concrete to someone or something or somewhere.",,verb
grew,/ɡɹuː/,"To become larger, to increase in magnitude.",Children grow quickly.,verb
guides,/ɡaɪdz/,"Someone who guides, especially someone hired to show people around a place or an institution and offer information and explanation.",The guide led us around the museum and explained the exhibits.,noun
heartbeat,/ˈhɑːtˌbiːt/,"One pulsation of the heart; especially an irregular one, hence the emotion which causes it.",He alone gives me such heartbeats,noun
hours,/ˈaʊɚz/,A time period of sixty minutes; one twenty-fourth of a day.,I spent an hour at lunch.,noun
jornet,/jornet/,,,
kidney,/kidney/,"An organ in the body that filters the blood, producing urine.",,noun
kilian,/kilian/,,,
km,/km/,a metric unit of length equal to 1000 meters (or 0.621371 miles),,n
knew,/ˈnjuː/,To perceive the truth or factuality of; to be certain of or that.,He knew something terrible was going to happen.,verb
lactic,/lactic/,of or relating to or obtained from milk (especially sour milk or whey),lactic acid,a
litres,/litres/,"a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)",,n
lles,/lles/,,,
makes,/makes/,a recognizable kind,there's a new brand of hero in the movies now,n
man,/man/,an adult person who is male (as opposed to a woman),there were two women and six men on the bus,n
masks,/masks/,a covering to disguise or conceal the face,,n
matterhorn,/matterhorn/,"a mountain in the Alps on the border between Switzerland and Italy (14,780 feet high); noted for its distinctive shape",,n
metres,/metres/,the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards),,n
mountaineering,/mountaineering/,the activity of climbing a mountain,,n
mountains,/mountains/,a land mass that projects well above its surroundings; higher than a hill,,n
muscles,/muscles/,one of the contractile organs of the body,,n
oh,/oh/,a midwestern state in north central United States in the Great Lakes region,,n
peers,/peers/,a person who is of equal standing with another in a group,,n
poisoning,/poisoning/,the physiological state produced by a poison or other toxic substance,,n
