Word,Phonetic,Definition,Example,Translation,POS
pyrenees,/pyrenees/,a chain of mountains between France and Spain,"And that really does mean his whole life, as he grew up 2,000 metres above sea level in the <b>Pyrenees</b> in the ski resort of Lles de Cerdanya in Catalonia, north-eastern Spain.","И это действительно означает всю его жизнь, когда он вырос на 2 000 метров над уровнем моря в Пиренеях на лыжном курорте Ллес-де-Серданья в Каталонии, северо-восточная Испания.",n
resort,/ɹɨˈzɔ(ɹ)t/,"A place where people go for recreation, especially one with facilities such as lodgings, entertainment, and a relaxing environment.","And that really does mean his whole life, as he grew up 2,000 metres above sea level in the Pyrenees in the ski <b>resort</b> of Lles de Cerdanya in Catalonia, north-eastern Spain.","И это действительно означает всю его жизнь, когда он вырос на 2 000 метров над уровнем моря в Пиренеях на лыжном курорте Ллес-де-Серданья в Каталонии, северо-восточная Испания.",noun
catalonia,/catalonia/,a region of northeastern Spain,"And that really does mean his whole life, as he grew up 2,000 metres above sea level in the Pyrenees in the ski resort of Lles de Cerdanya in <b>Catalonia</b>, north-eastern Spain.","И это действительно означает всю его жизнь, когда он вырос на 2 000 метров над уровнем моря в Пиренеях на лыжном курорте Ллес-де-Серданья в Каталонии, северо-восточная Испания.",n
behind,/bəˈhaɪnd/,"The rear, back-end",He left his peers even further <b>behind</b> when he climbed his first mountain and competed in his first cross-country ski race at age three.,"Он оставил своих сверстников еще дальше, когда поднялся на свою первую гору и соревновался в своих первых межстрановых лыжных гонках в возрасте трех лет.",noun
ascent,/əˈsɛnt/,The act of ascending; a motion upwards.,"For his record-breaking <b>ascent</b> and descent of the Matterhorn, he prepared by climbing the mountain ten times until he knew every detail of it, even including where the sun would be shining at every part of the day.","Для своего рекордного восхождения и спуска Маттерхорна он подготовился, забравшись на гору десять раз, пока не узнает всех подробностей, даже когда солнце будет светить в каждую часть дня.",noun
descent,/dɪˈsɛnt/,An instance of descending; act of coming down.,"For his record-breaking ascent and <b>descent</b> of the Matterhorn, he prepared by climbing the mountain ten times until he knew every detail of it, even including where the sun would be shining at every part of the day.","Для своего рекордного восхождения и спуска Маттерхорна он подготовился, забравшись на гору десять раз, пока не узнает всех подробностей, даже когда солнце будет светить в каждую часть дня.",noun
matterhorn,/matterhorn/,"a mountain in the Alps on the border between Switzerland and Italy (14,780 feet high); noted for its distinctive shape","For his record-breaking ascent and descent of the <b>Matterhorn</b>, he prepared by climbing the mountain ten times until he knew every detail of it, even including where the sun would be shining at every part of the day.","Для своего рекордного восхождения и спуска Маттерхорна он подготовился, забравшись на гору десять раз, пока не узнает всех подробностей, даже когда солнце будет светить в каждую часть дня.",n
man,[mɛn],An adult male human.,"His resting heartbeat is extremely low at 33 beats per minute, compared with the average <b>man</b>'s 60 per minute or an athlete's 40 per minute.","Сердцебиение его отдыха крайне низкое при 33 ударах в минуту, по сравнению со средним числом мужчин 60 ударов в минуту или 40 ударов спортсмена в минуту.",noun
lactic,/ˈlæktɪk/,"Of, relating to, or derived from milk","He breathes more efficiently than average people too, taking in more oxygen per breath, and he has a much faster recovery time after exercise as his body quickly breaks down <b>lactic</b> acid – the acid in muscles that causes pain after exercise.","Он дышит более эффективно, чем обычные люди, и принимает больше кислорода на дыхание, и у него гораздо более быстрое восстановление после физических упражнений, когда его тело быстро ломает лактическую кислоту – кислоту в мышцах, которая вызывает боль после упражнений.",adjective
condition,/kənˈdɪʃən/,A logical clause or phrase that a conditional statement uses. The phrase can either be true or false.,He often sets himself challenges to see how long he can endure difficult conditions in order to truly understand what his body and mind can cope with.,"Он часто ставит перед собой задачи увидеть, как долго он может переносить трудные условия, чтобы действительно понять, с чем могут справиться его тело и разум.",noun
km,/km/,a metric unit of length equal to 1000 meters (or 0.621371 miles),"For example, he almost gave himself kidney failure after only drinking 3.5 litres of water on a 100km run in temperatures of around 40°C.","Например, он чуть не повредил себе почки после того, как выпил только 3,5 литра воды на 100 <b>км</b> в температурах около 40°C.",n
