Word,Phonetic,Definition,Example,Translation,POS
pyrenees,/pyrenees/,a chain of mountains between France and Spain,"And that really does mean his whole life, as he grew up 2,000 metres above sea level in the <b>Pyrenees</b> in the ski resort of Lles de Cerdanya in Catalonia, north-eastern Spain.",,n
resort,/ɹɨˈzɔ(ɹ)t/,"A place where people go for recreation, especially one with facilities such as lodgings, entertainment, and a relaxing environment.","And that really does mean his whole life, as he grew up 2,000 metres above sea level in the Pyrenees in the ski <b>resort</b> of Lles de Cerdanya in Catalonia, north-eastern Spain.",,noun
catalonia,/catalonia/,a region of northeastern Spain,"And that really does mean his whole life, as he grew up 2,000 metres above sea level in the Pyrenees in the ski resort of Lles de Cerdanya in <b>Catalonia</b>, north-eastern Spain.",,n
behind,/bəˈhaɪnd/,"The rear, back-end",He left his peers even further <b>behind</b> when he climbed his first mountain and competed in his first cross-country ski race at age three.,,noun
ascent,/əˈsɛnt/,The act of ascending; a motion upwards.,"For his record-breaking <b>ascent</b> and descent of the Matterhorn, he prepared by climbing the mountain ten times until he knew every detail of it, even including where the sun would be shining at every part of the day.",,noun
descent,/dɪˈsɛnt/,An instance of descending; act of coming down.,"For his record-breaking ascent and <b>descent</b> of the Matterhorn, he prepared by climbing the mountain ten times until he knew every detail of it, even including where the sun would be shining at every part of the day.",,noun
matterhorn,/matterhorn/,"a mountain in the Alps on the border between Switzerland and Italy (14,780 feet high); noted for its distinctive shape","For his record-breaking ascent and descent of the <b>Matterhorn</b>, he prepared by climbing the mountain ten times until he knew every detail of it, even including where the sun would be shining at every part of the day.",,n
man,[mɛn],An adult male human.,"His resting heartbeat is extremely low at 33 beats per minute, compared with the average <b>man</b>'s 60 per minute or an athlete's 40 per minute.",,noun
lactic,/ˈlæktɪk/,"Of, relating to, or derived from milk","He breathes more efficiently than average people too, taking in more oxygen per breath, and he has a much faster recovery time after exercise as his body quickly breaks down <b>lactic</b> acid – the acid in muscles that causes pain after exercise.",,adjective
km,/km/,a metric unit of length equal to 1000 meters (or 0.621371 miles),"For example, he almost gave himself kidney failure after only drinking 3.5 litres of water on a 100km run in temperatures of around 40°C.",,n
